,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version,influence_sign
6658,0.021294111,0.02161913198627676,0.0001763967493680862,IF,0.05,6,50000,2540,80,160,10000,True,test,neg
6659,0.021294111,0.02161913198627676,0.0001763967493680862,IF,0.05,6,50000,2540,80,160,10000,True,10k,neg
6660,0.031666894,0.06768493154085325,0.0017290122084810985,IF,0.06,2,10000,2540,80,160,10000,True,train,neg
6661,0.03273893,0.06970620750441651,0.0018338211674829887,IF,0.06,2,10000,2540,80,160,10000,True,test,neg
6662,0.03273893,0.06970620750441651,0.0018338211674829887,IF,0.06,2,10000,2540,80,160,10000,True,10k,neg
6663,0.12293455,0.3814022569549637,0.054901042241000376,IF,0.03,4,10000,2540,80,160,10000,False,train,abs
6664,0.11611939,0.3804167327373843,0.05461768574937965,IF,0.03,4,10000,2540,80,160,10000,False,test,abs
6665,0.12293455,0.3814022569549637,0.054901042241000376,IF,0.03,4,10000,2540,80,160,10000,False,10k,abs
6666,0.020984529,0.010330138176839207,4.027414536636724e-05,RAR,0.02,3,50000,2540,80,160,10000,True,train,abs
6667,0.020984529,0.010330138176839207,4.027414536636724e-05,RAR,0.02,3,50000,2540,80,160,10000,True,test,abs
6668,0.020984529,0.010330138176839207,4.027414536636724e-05,RAR,0.02,3,50000,2540,80,160,10000,True,10k,abs
6669,0.012676405,0.1318668177435652,0.006562738858898038,random,0.03,2,10000,2540,80,160,10000,False,train,abs
6670,0.012676405,0.1318668177435652,0.006562738858898038,random,0.03,2,10000,2540,80,160,10000,False,test,abs
6671,0.016924553999999998,0.13287547126611565,0.006663520030064282,random,0.03,2,10000,2540,80,160,10000,False,10k,abs
6672,0.021442013,0.08833719287602695,0.002945108238925241,random,0.04,6,10000,2540,80,160,10000,False,train,abs
6673,0.021442013,0.08833719287602695,0.002945108238925241,random,0.04,6,10000,2540,80,160,10000,False,test,abs
6674,0.021442013,0.08833719287602695,0.002945108238925241,random,0.04,6,10000,2540,80,160,10000,False,10k,abs
6675,0.016788477,0.03798997081572112,0.0005446932478620612,random,0.07,3,10000,2540,80,160,10000,False,train,abs
6676,0.017498443,0.039317703732806436,0.0005834321584997855,random,0.07,3,10000,2540,80,160,10000,False,test,abs
6677,0.016788477,0.03798997081572112,0.0005446932478620612,random,0.07,3,10000,2540,80,160,10000,False,10k,abs
6678,0.013203386999999999,0.025880129088719752,0.00025278246720342163,RAR,0.05,2,50000,2540,80,160,10000,True,train,abs
6679,0.013203386999999999,0.025880129088719752,0.00025278246720342163,RAR,0.05,2,50000,2540,80,160,10000,True,test,abs
6680,0.013203386999999999,0.025880129088719752,0.00025278246720342163,RAR,0.05,2,50000,2540,80,160,10000,True,10k,abs
6681,0.021306453,0.1065058844449764,0.004281158217450493,RAR,0.01,9,10000,2540,80,160,10000,False,train,abs
6682,0.021306453,0.1065058844449764,0.004281158217450493,RAR,0.01,9,10000,2540,80,160,10000,False,test,abs
6683,0.021306453,0.1065058844449764,0.004281158217450493,RAR,0.01,9,10000,2540,80,160,10000,False,10k,abs
6684,0.007534091,0.026973817588027037,0.0002745989702666235,RAR,0.9,3,50000,2540,80,160,10000,False,train,abs
6685,0.007534091,0.026973817588027037,0.0002745989702666235,RAR,0.9,3,50000,2540,80,160,10000,False,test,abs
6686,0.007534091,0.026973817588027037,0.0002745989702666235,RAR,0.9,3,50000,2540,80,160,10000,False,10k,abs
6687,0.008273099,0.1006321826619078,0.0038219751296779134,IF,0.02,3,50000,2540,80,160,10000,False,train,neg
6688,0.008273099,0.1006321826619078,0.0038219751296779134,IF,0.02,3,50000,2540,80,160,10000,False,test,neg
6689,0.008273099,0.1006321826619078,0.0038219751296779134,IF,0.02,3,50000,2540,80,160,10000,False,10k,neg
6690,0.020663425,0.05921366898958085,0.001323299093739613,IF,0.05,6,10000,2540,80,160,10000,False,train,neg
6691,0.020663425,0.05921366898958085,0.001323299093739613,IF,0.05,6,10000,2540,80,160,10000,False,test,neg
6692,0.020663425,0.05921366898958085,0.001323299093739613,IF,0.05,6,10000,2540,80,160,10000,False,10k,neg
6693,0.017252179,0.0378594417563733,0.0005409566745996796,random,0.1,3,10000,2540,80,160,10000,False,train,abs
6694,0.017613007,0.04214923701773684,0.0006704918554327183,random,0.1,3,10000,2540,80,160,10000,False,test,abs
6695,0.017252179,0.0378594417563733,0.0005409566745996796,random,0.1,3,10000,2540,80,160,10000,False,10k,abs
6696,0.031629857000000004,0.03086923007387575,0.00035963807726911094,RAR,0.02,5,10000,2540,80,160,10000,True,train,abs
6697,0.031629857000000004,0.03086923007387575,0.00035963807726911094,RAR,0.02,5,10000,2540,80,160,10000,True,test,abs
6698,0.031629857000000004,0.03086923007387575,0.00035963807726911094,RAR,0.02,5,10000,2540,80,160,10000,True,10k,abs
6699,0.019145038,0.04261421110043303,0.0006853666656479918,IF,0.08,3,10000,2540,80,160,10000,False,train,neg
6700,0.019145038,0.04261421110043303,0.0006853666656479918,IF,0.08,3,10000,2540,80,160,10000,False,test,neg
6701,0.019145038,0.04261421110043303,0.0006853666656479918,IF,0.08,3,10000,2540,80,160,10000,False,10k,neg
6702,0.01131397,0.14244834728373326,0.007658238748168476,RAR,0.04,2,50000,2540,80,160,10000,False,train,abs
6703,0.01131397,0.14244834728373326,0.007658238748168476,RAR,0.04,2,50000,2540,80,160,10000,False,test,abs
6704,0.012215098999999998,0.1427724358889249,0.0076931253767524065,RAR,0.04,2,50000,2540,80,160,10000,False,10k,abs
